step,ep_reward_mean,policy_loss,value_loss,entropy,approx_kl,clip_frac,lr,sps
497664,70.2,0.0143,16.6158,1.044,0.0251,0.232,0.000225,148.0
499712,95.5,0.0055,11.6858,1.0429,0.0232,0.263,0.000225,148.0
501760,89.0,0.0054,28.0094,1.0431,0.017,0.186,0.000225,148.0
503808,67.3,0.008,11.9679,1.0444,0.0134,0.156,0.000225,145.0
505856,100.0,0.0086,18.3157,1.0428,0.0306,0.184,0.000225,145.0
507904,71.9,0.0108,7.6513,1.0394,0.0208,0.204,0.000225,145.0
509952,50.5,0.002,6.8216,1.035,0.0133,0.127,0.000225,145.0
512000,101.5,0.0055,32.4807,1.0284,0.0175,0.187,0.000225,145.0
514048,45.5,0.0141,6.5349,1.0256,0.0225,0.234,0.000224,146.0
516096,98.3,0.0575,30.8735,1.0241,0.1196,0.525,0.000224,146.0
518144,88.4,0.0058,19.8382,1.0232,0.0205,0.221,0.000224,146.0
520192,74.0,0.0009,26.5938,1.0228,0.0225,0.205,0.000224,146.0
522240,53.3,0.0062,9.6326,1.0201,0.0139,0.143,0.000224,146.0
524288,35.0,0.0117,19.0424,1.0139,0.0245,0.209,0.000224,146.0
526336,73.9,0.0064,10.3821,1.0117,0.0116,0.136,0.000224,146.0
528384,60.8,0.0179,27.7365,1.0099,0.029,0.309,0.000224,147.0
530432,87.5,0.0223,17.3187,1.0099,0.041,0.373,0.000224,147.0
532480,75.3,0.0043,13.3529,1.0104,0.0123,0.146,0.000223,147.0
534528,88.8,0.0143,14.5039,1.0089,0.0326,0.226,0.000223,147.0
536576,69.1,0.0207,22.8184,1.0081,0.0451,0.364,0.000223,147.0
540672,100.1,0.0016,20.7885,0.9994,0.0104,0.126,0.000223,147.0
542720,69.2,0.0032,12.6099,0.9963,0.0108,0.126,0.000223,148.0
544768,74.3,0.0039,22.4303,0.9939,0.0188,0.171,0.000223,148.0
548864,98.7,0.0124,19.6508,0.9903,0.0324,0.269,0.000223,148.0
550912,74.8,0.0041,11.6463,0.9883,0.0156,0.163,0.000223,148.0
552960,73.4,0.005,24.9864,0.9859,0.014,0.155,0.000222,145.0
557056,65.1,0.0071,18.139,0.9858,0.0213,0.204,0.000222,145.0
559104,62.0,0.0047,20.5399,0.9806,0.0114,0.137,0.000222,145.0
561152,93.7,0.0058,28.2754,0.9771,0.0187,0.19,0.000222,145.0
565248,82.1,0.0077,34.2667,0.9719,0.0111,0.126,0.000222,145.0
567296,73.3,0.0239,29.2201,0.973,0.0365,0.325,0.000222,145.0
569344,60.4,0.0185,24.5288,0.9735,0.0302,0.204,0.000222,146.0
573440,82.8,0.0019,24.3579,0.9731,0.012,0.14,0.000221,146.0
575488,96.0,0.0093,31.1216,0.9733,0.0262,0.222,0.000221,146.0
577536,74.4,0.0078,23.8244,0.9752,0.0273,0.271,0.000221,146.0
579584,77.0,0.0098,13.9077,0.9774,0.0174,0.177,0.000221,146.0
581632,39.5,-0.0018,14.699,0.9781,0.0057,0.068,0.000221,146.0
583680,101.4,0.0068,25.9503,0.9769,0.021,0.239,0.000221,147.0
585728,44.3,0.0094,5.5082,0.9776,0.0203,0.219,0.000221,147.0
587776,86.7,0.0019,15.4615,0.9785,0.0222,0.205,0.000221,147.0
589824,70.3,0.0137,26.634,0.9784,0.0245,0.214,0.000221,147.0
591872,103.6,0.0417,23.5142,0.9783,0.0451,0.293,0.000221,147.0
593920,36.4,-0.0022,3.0064,0.979,0.0146,0.172,0.00022,147.0
595968,4.9,0.0045,5.0394,0.9786,0.0088,0.107,0.00022,147.0
598016,76.1,0.038,29.2559,0.9775,0.0795,0.403,0.00022,148.0
600064,89.6,-0.0002,20.3731,0.9769,0.0151,0.175,0.00022,148.0
602112,38.6,-0.0029,6.9431,0.9751,0.0103,0.127,0.00022,145.0
604160,107.2,0.0071,21.6123,0.9756,0.0178,0.182,0.00022,145.0
606208,74.6,0.0197,15.3951,0.9758,0.0233,0.243,0.00022,145.0
608256,85.1,-0.0,27.0706,0.9769,0.0082,0.109,0.00022,145.0
612352,24.9,0.0067,3.3893,0.979,0.0101,0.106,0.000219,145.0
614400,30.1,0.0038,6.3759,0.9808,0.0098,0.101,0.000219,145.0
616448,66.1,0.0471,31.5946,0.984,0.0761,0.381,0.000219,145.0
620544,56.4,0.0124,19.0402,0.9853,0.0296,0.177,0.000219,146.0
622592,49.8,-0.0003,4.748,0.9844,0.0034,0.04,0.000219,146.0
624640,60.9,0.0016,16.3864,0.9857,0.0042,0.047,0.000219,146.0
628736,91.5,0.0011,22.9249,0.9872,0.01,0.105,0.000219,146.0
630784,57.9,-0.0014,21.7155,0.9876,0.0081,0.099,0.000219,146.0
632832,70.8,0.0101,23.6039,0.9864,0.0311,0.226,0.000218,146.0
636928,51.6,0.0248,14.5936,0.987,0.0319,0.178,0.000218,147.0
638976,60.0,0.0198,10.9703,0.9876,0.0218,0.185,0.000218,147.0
641024,86.9,0.0213,31.0872,0.9879,0.0426,0.206,0.000218,147.0
645120,46.2,0.0124,8.3291,0.9894,0.0278,0.134,0.000218,147.0
647168,26.8,0.0085,9.0135,0.9892,0.0132,0.112,0.000218,147.0
649216,26.0,0.0181,9.8134,0.9889,0.033,0.254,0.000218,147.0
653312,41.4,0.0314,21.3732,0.9908,0.0489,0.199,0.000217,144.0
655360,78.1,0.0256,14.0098,0.9909,0.0272,0.203,0.000217,145.0
657408,20.8,0.0444,15.643,0.9909,0.1098,0.37,0.000217,145.0
659456,44.1,-0.001,5.656,0.9926,0.0106,0.094,0.000217,145.0
661504,44.3,0.0013,8.1406,0.9927,0.0113,0.109,0.000217,145.0
663552,18.4,0.0395,9.6137,0.9858,0.0918,0.222,0.000217,145.0
665600,43.3,0.0157,4.0623,0.9851,0.0245,0.192,0.000217,145.0
667648,67.7,0.0116,13.4858,0.9856,0.0275,0.247,0.000217,145.0
669696,103.8,0.017,16.954,0.9858,0.0304,0.195,0.000217,145.0
671744,38.1,0.0052,5.7406,0.9855,0.0106,0.112,0.000217,146.0
673792,37.1,0.009,5.814,0.9839,0.0212,0.218,0.000216,146.0
675840,72.5,0.0114,20.3994,0.9841,0.0208,0.16,0.000216,146.0
677888,86.7,0.0317,15.696,0.9859,0.0565,0.264,0.000216,146.0
679936,52.1,0.0562,6.7663,0.9877,0.0924,0.366,0.000216,146.0
681984,75.3,0.0558,18.0082,0.9891,0.13,0.435,0.000216,146.0
684032,109.6,0.0128,17.8535,0.9902,0.0313,0.153,0.000216,146.0
686080,40.1,0.008,5.0813,0.9904,0.0177,0.173,0.000216,146.0
688128,79.0,-0.0001,31.2624,0.9886,0.0114,0.118,0.000216,147.0
692224,75.1,0.0028,28.6661,0.9876,0.0097,0.113,0.000215,147.0
694272,58.1,0.0075,19.7825,0.988,0.0253,0.211,0.000215,147.0
